Designator,Mid X,Mid Y,Rotation,Layer
Display1,86.163,-37.8072,0.0,top
Display2,84.6436,-39.8038,180.0,bottom
H1,122.901737,-43.599424,0.0,top
J1,104.631737,-20.599424,90.0,top
KEY1,105.901737,-33.599424,0.0,top
KEY2,124.901737,-31.219424,0.0,top
KEY3,143.901739,-33.599426,0.0,top
KEY4,162.901737,-38.349424,0.0,top
KEY5,105.901736,-52.599424,0.0,top
KEY6,124.901739,-50.219424,0.0,top
KEY7,143.901739,-52.599426,0.0,top
KEY8,162.901739,-57.349423,0.0,top
PUSH1,85.901736,-60.492424,180.0,bottom
PUSH2,84.901736,-60.492424,180.0,top
SW1,162.901737,-22.099424,0.0,bottom
SW2,162.901737,-22.099424,180.0,top
U1,86.020736,-36.369424,270.0,top
U2,84.369736,-35.099424,270.0,bottom
